Label,ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
7Networks_LH_Limbic_TempPole_3,59,-27.6621160409556,10.3276450511945,-34.6143344709898,586,0,0,0,0,0,0,0.897610921501707,0,0,0,0,0
7Networks_LH_Limbic_TempPole_4,60,-42.3621621621622,7.73513513513514,-18.8054054054054,370,0.0027027027027027,0,0,0,0,0,0.894594594594595,0,0.0027027027027027,0,0,0
7Networks_LH_Cont_Par_1,61,-52.8703296703297,-50.9450549450549,45.8285714285714,455,0,0,0.953846153846154,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_Par_2,62,-34.8469860896445,-62.3122102009274,47.9938176197836,647,0,0,0.970633693972179,0,0.00309119010819165,0,0,0,0,0,0,0
7Networks_LH_Cont_Par_3,63,-45.3255813953488,-41.7023255813954,46.5162790697674,430,0,0,0.972093023255814,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_Temp_1,64,-60.9080459770115,-42.7586206896552,-13.3448275862069,696,0,0,0,0,0,0,0.959770114942529,0,0,0,0,0
7Networks_LH_Cont_OFC_1,65,-31.821892393321,42.4118738404453,-13.4285714285714,539,0.894248608534323,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_PFCl_1,66,-41.7660626029654,49.4728171334432,-5.81219110378913,607,0.906095551894564,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_PFCl_2,67,-27.5378266850069,58.0330123796424,8.03851444291609,727,0.763411279229711,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_PFCl_3,68,-41.8349206349206,40.1587301587302,16.5285714285714,1260,0.816666666666667,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_PFCl_4,69,-44.2677925211098,20.0844390832328,27.2834740651387,829,0.808202653799759,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_PFCl_5,70,-42.6169895678092,6.00298062593145,43.4843517138599,671,0.904619970193741,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_pCun_1,71,-9.53320683111955,-73.0853889943074,37.4345351043643,527,0,0,0.314990512333966,0,0.612903225806452,0,0,0,0,0,0,0
7Networks_LH_Cont_Cing_1,72,-4.69230769230769,-28.875,26.875,208,0.0240384615384615,0,0.668269230769231,0,0,0,0,0,0,0,0,0
7Networks_LH_Cont_Cing_2,73,-3.14634146341463,5.28048780487805,28.9756097560976,164,0.701219512195122,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_Temp_1,74,-46.6370250606306,8.1552142279709,-32.3443815683104,1237,0.00161681487469685,0,0,0,0,0,0.945028294260307,0,0,0,0,0
7Networks_LH_Default_Temp_2,75,-60.2728442728443,-18.8339768339768,-22.5559845559846,777,0,0,0,0,0,0,0.953667953667954,0,0,0,0,0
7Networks_LH_Default_Temp_3,76,-56.3588110403397,-5.75796178343949,-12.2335456475584,942,0,0,0,0,0,0,0.977707006369427,0,0,0,0,0
7Networks_LH_Default_Temp_4,77,-57.9796696315121,-30.3837357052097,-3.53240152477764,787,0,0,0,0,0,0,0.949174078780178,0,0,0,0,0
7Networks_LH_Default_Temp_5,78,-58.2282878411911,-41.9106699751861,7.40694789081886,806,0,0,0.124069478908189,0,0.011166253101737,0,0.818858560794045,0,0,0,0,0
7Networks_LH_Default_Par_1,79,-48.709323583181,-57.4405850091408,17.9341864716636,547,0,0,0.517367458866545,0,0.146252285191956,0,0.0658135283363803,0,0,0,0,0
7Networks_LH_Default_Par_2,80,-38.4313099041534,-79.3801916932907,31.6357827476038,626,0,0,0.138977635782748,0,0.76517571884984,0,0,0,0,0,0,0
7Networks_LH_Default_Par_3,81,-56.9309462915601,-53.8005115089514,28.1790281329923,391,0,0,0.959079283887468,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_Par_4,82,-45.8713886300093,-65.6663560111836,38.232991612302,1073,0,0,0.912395153774464,0,0.0065237651444548,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_1,83,-34.8923076923077,20.8444444444444,-13.0188034188034,585,0.552136752136752,0,0,0,0,0,0.00683760683760684,0,0.14017094017094,0,0.0102564102564103,0
7Networks_LH_Default_PFC_2,84,-5.76258992805755,35.8021582733813,-9.67985611510791,556,0.906474820143885,0,0,0,0,0,0,0,0,0,0.00539568345323741,0
7Networks_LH_Default_PFC_3,85,-45.8904109589041,31.0091324200913,-7.42009132420091,438,0.938356164383562,0,0,0,0,0,0,0,0.0228310502283105,0,0,0
7Networks_LH_Default_PFC_4,86,-13.2461116193962,62.5580969807868,-5.7035681610247,1093,0.910338517840805,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_5,87,-51.2446555819478,22.5534441805226,7.86223277909739,842,0.957244655581948,0,0,0,0,0,0,0,0.00475059382422803,0,0,0
7Networks_LH_Default_PFC_6,88,-6.28250401284109,44.4686998394864,7.29373996789727,623,0.902086677367576,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_7,89,-8.43152709359606,58.4591133004926,19.7004926108374,1015,0.872906403940887,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_8,90,-5.58154859967051,30.0164744645799,24.2899505766063,607,0.820428336079077,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_9,91,-11.1369863013699,46.4356164383562,44.986301369863,730,0.893150684931507,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_10,92,-3.46589259796807,33.2830188679245,43.166908563135,689,0.830188679245283,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_11,93,-39.6588235294118,18.7147058823529,49.5235294117647,680,0.944117647058824,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_12,94,-23.6678281068525,24.6875725900116,49.0336817653891,861,0.896631823461092,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PFC_13,95,-9.31486880466472,16.9795918367347,63.1749271137026,686,0.889212827988338,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_pCunPCC_1,96,-11.113172541744,-55.9777365491651,13.4063079777366,539,0,0,0.897959183673469,0,0.051948051948052,0,0,0,0,0,0,0
7Networks_LH_Default_pCunPCC_2,97,-5.32478632478632,-54.991452991453,27.1196581196581,702,0,0,0.944444444444444,0,0.0185185185185185,0,0,0,0,0,0,0
7Networks_LH_Default_pCunPCC_3,98,-3.81818181818182,-29.4219114219114,36.5874125874126,429,0.0839160839160839,0,0.864801864801865,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_pCunPCC_4,99,-6.25850340136054,-54.5340136054422,41.8843537414966,588,0,0,0.981292517006803,0,0,0,0,0,0,0,0,0
7Networks_LH_Default_PHC_1,100,-25.8895348837209,-31.5232558139535,-17.9447674418605,688,0,0,0.0203488372093023,0,0.0290697674418605,0,0.51453488372093,0,0,0,0.0319767441860465,0
7Networks_RH_Vis_1,101,38.5764411027569,-34.7443609022556,-22.9774436090226,798,0,0,0,0,0,0.0112781954887218,0,0.926065162907268,0,0,0,0
7Networks_RH_Vis_2,102,27.3021148036254,-35.416918429003,-14.6555891238671,662,0,0,0,0,0,0.167673716012085,0,0.489425981873112,0,0,0,0.00755287009063444
7Networks_RH_Vis_3,103,28.6894409937888,-68.472049689441,-12.4829192546584,1288,0,0,0,0,0,0.697204968944099,0,0.180900621118012,0,0,0,0
7Networks_RH_Vis_4,104,12.3520485584219,-64.2640364188164,-4.58270106221548,659,0,0,0,0.0106221547799697,0.00151745068285281,0.915022761760243,0,0,0,0,0,0
7Networks_RH_Vis_5,105,48.5701754385965,-71.4883040935673,-6.03801169590643,684,0,0,0,0,0,0.701754385964912,0,0.216374269005848,0,0,0,0
7Networks_RH_Vis_6,106,11.34944612286,-92.134944612286,-5.01309164149043,993,0,0,0,0,0.00704934541792548,0.919436052366566,0,0,0,0,0,0
7Networks_RH_Vis_7,107,16.2573726541555,-46.3324396782842,-1.32439678284182,373,0,0,0,0.351206434316354,0,0.359249329758713,0,0,0,0,0,0.00536193029490617
7Networks_RH_Vis_8,108,30.2706913339825,-93.5579357351509,-3.81304771178189,1027,0,0,0,0,0,0.900681596884129,0,0,0,0,0,0
7Networks_RH_Vis_9,109,8.47957839262187,-75.0171277997365,8.14492753623189,759,0,0,0,0.0263504611330698,0.0342555994729908,0.911725955204216,0,0,0,0,0,0
7Networks_RH_Vis_10,110,21.1012987012987,-59.9376623376623,7.49090909090909,385,0,0,0,0.496103896103896,0,0.322077922077922,0,0,0,0,0,0
7Networks_RH_Vis_11,111,42.2529411764706,-79.8294117647059,9.7,680,0,0,0,0.0632352941176471,0,0.730882352941176,0,0,0,0,0,0
7Networks_RH_Vis_12,112,19.4373956594324,-90.212020033389,21.449081803005,1198,0,0,0,0.00417362270450751,0,0.906510851419032,0,0,0,0,0,0
7Networks_RH_Vis_13,113,11.303074670571,-73.7715959004392,25.4436310395315,683,0,0,0,0.168374816983895,0.00146412884333821,0.745241581259151,0,0,0,0,0,0
7Networks_RH_Vis_14,114,16.1995661605206,-84.6377440347072,39.41431670282,461,0,0,0,0.108459869848156,0,0.674620390455532,0,0,0,0,0,0
7Networks_RH_Vis_15,115,32.4348894348894,-74.6117936117936,31.8378378378378,814,0,0,0,0.804668304668305,0,0.14004914004914,0,0,0,0,0,0
7Networks_RH_SomMot_1,116,51.8504983388704,-14.4186046511628,5.28239202657807,602,0,0.00830564784053156,0,0.0863787375415282,0,0,0,0.782392026578073,0,0.0132890365448505,0,0
7Networks_RH_SomMot_2,117,63.6641509433962,-23.4792452830189,7.37358490566038,530,0,0,0,0.109433962264151,0,0,0,0.881132075471698,0,0,0,0
7Networks_RH_SomMot_3,118,38.413612565445,-13.2879581151832,14.5811518324607,382,0,0.0471204188481675,0,0.303664921465969,0,0,0,0,0,0.350785340314136,0,0
7Networks_RH_SomMot_4,119,44.0301507537688,-26.6381909547739,18.0402010050251,398,0,0,0,0.577889447236181,0,0,0,0.183417085427136,0,0,0,0
7Networks_RH_SomMot_5,120,59.010752688172,0.551971326164875,10.9318996415771,279,0,0.85663082437276,0,0.0573476702508961,0,0,0,0.032258064516129,0,0,0,0
7Networks_RH_SomMot_6,121,56.6938775510204,-11.4761904761905,14.4353741496599,294,0,0.0170068027210884,0,0.921768707482993,0,0,0,0.0136054421768707,0,0,0,0
7Networks_RH_SomMot_7,122,57.4785992217899,-4.98573281452659,30.2127107652399,771,0,0.553826199740597,0,0.239948119325551,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_8,123,9.44769874476988,-15.0376569037657,41.163179916318,239,0.00418410041841004,0.602510460251046,0.00418410041841004,0.251046025104603,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_9,124,50.8969957081545,-22.412017167382,51.8369098712446,466,0,0.0171673819742489,0,0.836909871244635,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_10,125,46.7017543859649,-11.0225563909774,48.0451127819549,399,0,0.719298245614035,0,0.0150375939849624,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_11,126,6.99784946236559,-10.9376344086022,51.6430107526882,465,0.0043010752688172,0.881720430107527,0,0.0795698924731183,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_12,127,39.1932773109244,-23.6806722689076,57.4565826330532,357,0,0.0756302521008403,0,0.170868347338936,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_13,128,31.6739130434783,-40.5507246376812,63.3623188405797,276,0,0,0,0.942028985507246,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_14,129,31.9848484848485,-19.7272727272727,64.3712121212121,528,0,0.630681818181818,0,0,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_15,130,28.9787234042553,-34.0567375886525,65.3758865248227,282,0,0.0780141843971631,0,0.425531914893617,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_16,131,22.369465648855,-8.81221374045802,67.175572519084,655,0,0.970992366412214,0,0,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_17,132,10.176,-39.0666666666667,68.7413333333333,375,0.00266666666666667,0.189333333333333,0,0.461333333333333,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_18,133,6.90462427745665,-23.2832369942197,67.2514450867052,692,0.00578034682080925,0.830924855491329,0,0.065028901734104,0,0,0,0,0,0,0,0
7Networks_RH_SomMot_19,134,20.0161290322581,-29.5887096774194,70,248,0,0.685483870967742,0,0,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_1,135,50.3177257525084,-53.1839464882943,-15.0685618729097,1196,0,0,0,0,0,0.020066889632107,0,0.954849498327759,0,0,0,0
7Networks_RH_DorsAttn_Post_2,136,51.6036960985626,-59.5995893223819,9.57700205338809,974,0,0,0,0.259753593429158,0,0.252566735112936,0,0.215605749486653,0,0,0,0
7Networks_RH_DorsAttn_Post_3,137,59.6604774535809,-16.684350132626,34.3660477453581,377,0,0.00530503978779841,0,0.970822281167109,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_4,138,46.2207505518764,-36.9271523178808,48.6092715231788,453,0,0,0,0.924944812362031,0,0,0,0,0,0,0,0
